sampling_date,general_sampling_label,micro_sampling_label,plot,dna_ext_date,dna_eppendorf_label,dna_epp_FINAL_LABEL_BACTERIA_BATCH,dna_epp_FINAL_LABEL_FUNGHI_BATCH,Novogene_Group_name,soilsample_weight_g,DNA(ng/uL),A260/A280,A260/A230,A260,A280,nucleic_acid_factor,baseline_correction(nm),linebase_absorbance,OBS,,,
20230601,2,b,2,20230627,2b,B2b,B2f,C.B,0.2489,195.812,1.89,1.681,3.916,2.072,50,340,-0.016,,,,B
20230601,2,b,3,20230627,3b,B3b,B3f,P.B,0.2497,239.361,1.891,1.999,4.787,2.532,50,340,-0.02,,,,B
20230601,2,b,4,20230627,4b,B4b,B4f,WP.B,0.2507,164.717,1.884,1.703,3.294,1.748,50,340,-0.021,,,,B
20230601,2,b,5,20230627,5b,B5b,B5f,WP.B,0.2508,159.635,1.883,1.28,3.193,1.695,50,340,-0.03,,,,B
20230601,2,b,6,20230627,6b,B6b,B6f,P.B,0.2524,155.859,1.877,1.885,3.117,1.661,50,340,-0.031,,,,B
20230601,2,b,7,20230627,7b,B7b,B7f,C.B,0.2503,174.137,1.885,1.844,3.483,1.847,50,340,-0.026,,,,B
20230601,2,b,8,20230627,8b,B8b,B8f,W.B,0.2502,173.2,1.883,1.837,3.464,1.840,50,340,-0.003,,,,B
20230601,2,b,9,20230627,9b,B9b,B9f,W.B,0.2498,258.244,1.892,2.033,5.165,2.730,50,340,-0.042,,,,B
20230601,2,b,10,20230627,10b,B10b,B10f,P.B,0.2496,228.949,1.887,1.867,4.579,2.426,50,340,-0.043,,,,B
20230601,2,b,11,20230627,11b,B11b,B11f,C.B,0.2518,207.037,1.891,0.56,4.141,2.190,50,340,-0.044,,,,B
20230601,2,b,12,20230627,12b,B12b,B12f,WP.B,0.2508,164.521,1.884,1.848,3.29,1.746,50,340,-0.049,,,,B
20230601,2,b,13,20230627,13b,B13b,B13f,WP.B,0.2505,164.558,1.882,1.678,3.291,1.749,50,340,-0.042,,,,B
20230601,2,b,14,20230627,14b,B14b,B14f,C.B,0.2500,200.314,1.884,1.728,4.006,2.126,50,340,-0.045,,,,B
20230601,2,b,15,20230627,15b,B15b,B15f,P.B,0.2495,183.601,1.887,1.719,3.672,1.946,50,340,-0.032,,,,B
20230601,2,b,16,20230627,16b,B16b,B16f,W.B,0.2495,209.221,1.888,1.722,4.184,2.216,50,340,-0.028,,,,B
20230711,4,c,1,20230801,1c,C1b,C1f,W.C,0.2493,182.598,1.890,0.515,3.652,1.933,50,340,0.005,,,,C
20230711,4,c,2,20230801,2c,C2b,C2f,C.C,0.2503,148.433,1.886,0.570,2.969,1.574,50,340,0.011,,,,C
20230711,4,c,3,20230801,3c,C3b,C3f,P.C,0.2491,225.265,1.882,0.701,4.505,2.394,50,340,0.013,,,,C
20230711,4,c,4,20230801,4c,C4b,C4f,WP.C,0.2494,140.029,1.875,1.124,2.801,1.493,50,340,-0.003,,,,C
20230711,4,c,5,20230801,5c,C5b,C5f,WP.C,0.2495,190.816,1.891,0.333,3.816,2.018,50,340,0.013,,,,C
20230711,4,c,6,20230801,6c,C6b,C6f,P.C,0.2496,232.603,1.894,1.861,4.652,2.456,50,340,0.011,,,,C
20230711,4,c,7,20230801,7c,C7b,C7f,C.C,0.2502,192.594,1.889,0.617,3.852,2.039,50,340,0.02,,,,C
20230711,4,c,8,20230801,8c,C8b,C8f,W.C,0.2492,168.500,1.880,1.175,3.370,1.792,50,340,0.032,,,,C
20230711,4,c,9,20230801,9c,C9b,C9f,W.C,0.2500,259.542,1.879,0.349,5.191,2.762,50,340,0.048,,,,C
20230711,4,c,10,20230801,10c,C10b,C10f,P.C,0.2498,125.287,1.893,0.289,2.506,1.324,50,340,0.049,,,,C
20230711,4,c,11,20230801,11c,C11b,C11f,C.C,0.2500,126.031,1.874,1.051,2.521,1.345,50,340,0.047,,,,C
20230711,4,c,12,20230801,12c,C12b,C12f,WP.C,0.2507,127.711,1.879,0.848,2.554,1.360,50,340,0.043,,,,C
20230711,4,c,13,20230801,13c,C13b,C13f,WP.C,0.2502,114.908,1.885,1.055,2.298,1.219,50,340,0.030,,,,C
20230711,4,c,14,20230801,14c,C14b,C14f,C.C,0.2504,182.333,1.883,1.172,3.647,1.937,50,340,0.022,,,,C
20230711,4,c,15,20230801,15c,C15b,C15f,P.C,0.2508,137.051,1.895,0.418,2.741,1.446,50,340,0.023,,,,C
20230711,4,c,16,20230801,16c,C16b,C16f,W.C,0.2505,149.642,1.903,0.187,2.993,1.573,50,340,0.000,,,,C
20230906,7,d,1,20230915,1d,D1b,D1f,W.D,0.2517,157.524,1.895,0.371,3.15,1.662,50,340,0.011,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,2,20230915,2d,D2b,D2f,C.D,0.2500,127.062,1.887,0.446,2.541,1.347,50,340,-0.002,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,3,20230915,3d,D3b,D3f,P.D,0.2497,132.556,1.892,0.34,2.651,1.401,50,340,0.006,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,4,20230915,4d,D4b,D4f,WP.D,0.2515,155.574,1.881,1.118,3.111,1.654,50,340,-0.003,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,5,20230915,5d,D5b,D5f,WP.D,0.2500,187.199,1.885,0.535,3.744,1.986,50,340,0.004,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,6,20230915,6d,D6b,D6f,P.D,0.2503,185.624,1.889,1.701,3.712,1.965,50,340,0.02,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,7,20230915,7d,D7b,D7f,C.D,0.2503,144.272,1.894,0.334,2.885,1.523,50,340,0.035,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,8,20230915,8d,D8b,D8f,W.D,0.2501,205.24,1.887,1.259,4.105,2.175,50,340,0.043,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,9,20230915,9d,D9b,D9f,W.D,0.2501,175.35,1.893,0.326,3.507,1.853,50,340,0.04,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,10,20230915,10d,D10b,D10f,P.D,0.2496,82.681,1.87,0.974,1.654,0.884,50,340,0.049,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,11,20230915,11d,D11b,D11f,C.D,0.2492,104.175,1.877,0.365,2.083,1.11,50,340,0.022,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,12,20230915,12d,D12b,D12f,WP.D,0.2522,168.224,1.885,0.538,3.364,1.785,50,340,0.057,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,13,20230915,13d,D13b,D13f,WP.D,0.2513,135.447,1.886,0.571,2.709,1.436,50,340,0.036,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,14,20230915,14d,D14b,D14f,C.D,0.2516,149.781,1.881,1.743,2.996,1.592,50,340,0.04,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,15,20230915,15d,D15b,D15f,P.D,0.249,120.652,1.883,1.374,2.413,1.282,50,340,0.048,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20230906,7,d,16,20230915,16d,D16b,D16f,W.D,0.2495,146.97,1.879,1.873,2.939,1.564,50,340,0.039,"Paso 10, en vez de centrifugar a 13.4 rpm 5 minutos lo hice a 10.4 rpm",,,D
20231114,11,e,1,20231124,1e,E1b,E1f,W.E,0.2507,220.535,1.899,0.71,4.411,2.323,50,340,0.011,,,,E
20231114,11,e,2,20231124,2e,E2b,E2f,C.E,0.2491,190.141,1.893,1.36,3.803,2.009,50,340,0.013,,,,E
20231114,11,e,3,20231124,3e,E3b,E3f,P.E,0.2492,205.204,1.907,0.67,4.104,2.153,50,340,0.019,,,,E
20231114,11,e,4,20231124,4e,E4b,E4f,WP.E,0.2507,227.671,1.906,1.376,4.553,2.389,50,340,0.025,,,,E
20231114,11,e,5,20231124,5e,E5b,E5f,WP.E,0.2504,197.639,1.905,0.68,3.953,2.075,50,340,0.042,,,,E
20231114,11,e,6,20231124,6e,E6b,E6f,P.E,0.2501,208.995,1.916,0.901,4.18,2.182,50,340,0.059,,,,E
20231114,11,e,7,20231124,7e,E7b,E7f,C.E,0.251,184.183,1.909,1.704,3.684,1.930,50,340,0.064,"Habia 2 muestras 11, y faltaba la muestra 7. Los dos son tratamientos control. Asigné a una de las bolsas el número 7. ",,,E
20231114,11,e,8,20231124,8e,E8b,E8f,W.E,0.2505,160.523,1.911,1.346,3.21,1.680,50,340,0.054,,,,E
20231114,11,e,9,20231124,9e,E9b,E9f,W.E,0.2491,225.142,1.909,1.17,4.503,2.358,50,340,0.059,,,,E
20231114,11,e,10,20231124,10e,E10b,E10f,P.E,0.2495,131.021,1.908,1.113,2.62,1.373,50,340,0.054,,,,E
20231114,11,e,11,20231124,11e,E11b,E11f,C.E,0.2499,174.001,1.904,0.629,3.48,1.828,50,340,0.05,"Habia 2 muestras 11, y faltaba la muestra 7. Los dos son tratamientos control. Asigné a una de las bolsas el número 7. ",,,E
20231114,11,e,12,20231124,12e,E12b,E12f,WP.E,0.2492,155.24,1.909,0.44,3.105,1.627,50,340,0.045,,,,E
20231114,11,e,13,20231124,13e,E13b,E13f,WP.E,0.25,148.42,1.902,1.243,2.968,1.561,50,340,0.041,,,,E
20231114,11,e,14,20231124,14e,E14b,E14f,C.E,0.251,201.069,1.895,0.925,4.021,2.122,50,340,0.059,,,,E
20231114,11,e,15,20231124,15e,E15b,E15f,P.E,0.2494,157.855,1.903,0.888,3.157,1.659,50,340,0.025,,,,E
20231114,11,e,16,20231124,16e,E16b,E16f,W.E,0.2493,175.616,1.886,1.288,3.512,1.863,50,340,0.028,,,,E
20240408,13,f,1,20240426,1f,F1b,F1f,W.F,0.25,152.781,1.893,1.784,3.056,1.614,50,340,0.012,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,2,20240426,2f,F2b,F2f,C.F,0.2504,135.87,1.9,0.609,2.717,1.43,50,340,0.021,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,3,20240426,3f,F3b,F3f,P.F,0.2506,162.017,1.901,0.991,3.24,1.705,50,340,0.043,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,4,20240426,4f,F4b,F4f,WP.F,0.2489,158.527,1.906,1.31,3.171,1.664,50,340,0.054,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,5,20240426,5f,F5b,F5f,WP.F,0.2489,145.228,1.908,0.521,2.905,1.522,50,340,0.055,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,6,20240426,6f,F6b,F6f,P.F,0.2497,125.234,1.911,0.439,2.505,1.311,50,340,0.034,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,7,20240426,7f,F7b,F7f,C.F,0.249,163.925,1.901,0.827,3.279,1.724,50,340,0.046,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,8,20240426,8f,F8b,F8f,W.F,0.2496,142.686,1.909,0.334,2.854,1.495,50,340,0.042,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,9,20240426,9f,F9b,F9f,W.F,0.2507,164.808,1.894,1.842,3.296,1.74,50,340,0.048,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,10,20240426,10f,F10b,F10f,P.F,0.2512,121.155,1.893,1.588,2.423,1.28,50,340,0.031,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,11,20240426,11f,F11b,F11f,C.F,0.2514,146.259,1.897,1.326,2.925,1.542,50,340,0.028,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,12,20240426,12f,F12b,F12f,WP.F,0.2505,100.291,1.896,1.509,2.006,1.058,50,340,0.028,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,13,20240426,13f,F13b,F13f,WP.F,0.2512,98.616,1.881,1.007,1.972,1.049,50,340,0.015,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,14,20240426,14f,F14b,F14f,C.F,0.2508,83.344,1.886,0.955,1.667,0.884,50,340,0.016,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,15,20240426,15f,F15b,F15f,P.F,0.2494,119.397,1.882,1.267,2.388,1.269,50,340,0.062,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240408,13,f,16,20240426,16f,F16b,F16f,W.F,0.2504,94.56,1.873,0.957,1.891,1.010,50,340,0.027,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,F
20240604,16,g,1,20240620,1g,G1,G1,,0.2512,172.595,1.91,0.308,3.452,1.807,50,340,0.013,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,2,20240620,2g,G2,G2,,0.2502,111.8,1.917,0.725,2.236,1.166,50,340,-0.002,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,3,20240620,3g,G3,G3,,0.2497,160.397,1.904,1.131,3.208,1.685,50,340,-0.005,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,4,20240620,4g,G4,G4,,0.2518,137.225,1.9,1.244,2.744,1.444,50,340,-0.01,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,5,20240620,5g,G5,G5,,0.2555,78.245,1.885,1.412,1.565,0.830,50,340,-0.006,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,6,20240620,6g,G6,G6,,0.2492,99.773,1.902,0.214,1.995,1.049,50,340,-0.002,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,7,20240620,7g,G7,G7,,0.2527,61.863,1.881,0.806,1.237,0.658,50,340,0.055,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,8,20240620,8g,G8,G8,,0.25,170.902,1.888,1.786,3.418,1.810,50,340,0.02,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,9,20240620,9g,G9,G9,,0.252,209.496,1.886,1.637,4.19,2.222,50,340,-0.008,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,10,20240620,10g,G10,G10,,0.2471,107.329,1.885,1.449,2.147,1.139,50,340,-0.003,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,11,20240620,11g,G11,G11,,0.2506,151.392,1.886,1.947,3.028,1.605,50,340,0.055,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,12,20240620,12g,G12,G12,,0.253,140.08,1.88,1.001,2.802,1.490,50,340,0.034,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,13,20240620,13g,G13,G13,,0.2503,132.761,1.894,0.999,2.655,1.402,50,340,0.016,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,14,20240620,14g,G14,G14,,0.2511,107.738,1.892,0.782,2.155,1.139,50,340,0.031,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,15,20240620,15g,G15,G15,,0.2497,94.792,1.892,1.67,1.896,1.002,50,340,0.056,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
20240604,16,g,16,20240620,16g,G16,G16,,0.255,91.162,1.873,1.113,1.823,0.974,50,340,0.038,Muestra no tamizada por estar muy húmeda. Se pesa muestra directamente sin tamizar.,,,G
