"","sampling","plot","treatment","species","abundance","height","Cb","Db","Cm","Dm","datenew","month"
"36","0may",15,"p","brst",95,88,NA,NA,NA,NA,2023-05-04,5
"37","0may",16,"w","brst",95,88,NA,NA,NA,NA,2023-05-04,5
"38","0may",15,"p","brst",95,87,NA,NA,NA,NA,2023-05-04,5
"39","0may",16,"w","brst",95,87,NA,NA,NA,NA,2023-05-04,5
"40","11nov",16,"w","ni_p16_1",95,38,NA,0.21,NA,0.06,2023-11-13,11
"41","11nov",16,"w","ni_p16_1",95,23,1.5,NA,1.4,NA,2023-11-13,11
"42","11nov",16,"w","ni_p16_1",95,23,1.7,NA,2,NA,2023-11-13,11
"43","11nov",16,"w","ni_p16_1",95,22,NA,0.24,NA,0.16,2023-11-13,11
"44","11nov",16,"w","ni_p16_1",95,15,NA,0.04,NA,0.01,2023-11-13,11
"45","8sep",16,"w","ni_p16_1",95,25,NA,0.02,NA,0.02,2023-09-18,9
"46","8sep",16,"w","ni_p16_1",95,23.5,NA,0.02,NA,0.02,2023-09-18,9
"47","8sep",16,"w","ni_p16_1",95,23,NA,0.02,NA,0.02,2023-09-18,9
"48","8sep",16,"w","ni_p16_1",95,18,NA,0.02,NA,0.02,2023-09-18,9
"49","8sep",16,"w","ni_p16_1",95,12,NA,0.02,NA,0.02,2023-09-18,9
"50","10oct",8,"w","elre",85,46.5,2.4,NA,2.2,NA,2023-10-16,10
"51","10oct",8,"w","elre",85,43.5,2.1,NA,2,NA,2023-10-16,10
"52","10oct",8,"w","elre",85,31.5,1.9,NA,1.6,NA,2023-10-16,10
"53","10oct",8,"w","elre",85,31,1.8,NA,1.6,NA,2023-10-16,10
"54","10oct",8,"w","elre",85,28.5,NA,0.11,NA,0.06,2023-10-16,10
"55","0may",13,"wp","brst",80,131,NA,NA,NA,NA,2023-05-04,5
"56","0may",13,"wp","brst",80,129,NA,NA,NA,NA,2023-05-04,5
"57","0may",13,"wp","brst",80,127,NA,NA,NA,NA,2023-05-04,5
"58","0may",13,"wp","brst",80,126,NA,NA,NA,NA,2023-05-04,5
"59","0may",13,"wp","brst",80,121,NA,NA,NA,NA,2023-05-04,5
"60","0may",13,"wp","brst",80,117.5,NA,NA,NA,NA,2023-05-04,5
"61","0may",13,"wp","brst",80,112,NA,NA,NA,NA,2023-05-04,5
"62","0may",13,"wp","brst",80,111,NA,NA,NA,NA,2023-05-04,5
"63","0may",13,"wp","brst",80,109,NA,NA,NA,NA,2023-05-04,5
"64","0may",13,"wp","brst",80,108,NA,NA,NA,NA,2023-05-04,5
"65","0may",13,"wp","brst",80,106,NA,NA,NA,NA,2023-05-04,5
"66","0may",13,"wp","brst",80,106,NA,NA,NA,NA,2023-05-04,5
"67","0may",13,"wp","brst",80,105,NA,NA,NA,NA,2023-05-04,5
"68","0may",13,"wp","brst",80,104,NA,NA,NA,NA,2023-05-04,5
"69","0may",13,"wp","brst",80,104,NA,NA,NA,NA,2023-05-04,5
"70","0may",13,"wp","brst",80,103,NA,NA,NA,NA,2023-05-04,5
"71","0may",13,"wp","brst",80,102,NA,NA,NA,NA,2023-05-04,5
"72","0may",13,"wp","brst",80,100,NA,NA,NA,NA,2023-05-04,5
"73","0may",13,"wp","brst",80,98,NA,NA,NA,NA,2023-05-04,5
"74","0may",13,"wp","brst",80,97,NA,NA,NA,NA,2023-05-04,5
"75","0may",13,"wp","brst",80,92,NA,NA,NA,NA,2023-05-04,5
"76","0may",13,"wp","brst",80,82,NA,NA,NA,NA,2023-05-04,5
"77","0may",13,"wp","brst",80,80,NA,NA,NA,NA,2023-05-04,5
"78","0may",13,"wp","brst",80,80,NA,NA,NA,NA,2023-05-04,5
"79","0may",13,"wp","brst",80,77,NA,NA,NA,NA,2023-05-04,5
"80","10oct",11,"c","elre",80,30,0.7,NA,0.8,NA,2023-10-16,10
"81","10oct",11,"c","elre",80,27,1.8,NA,1.5,NA,2023-10-16,10
"82","10oct",11,"c","elre",80,27,1.2,NA,1,NA,2023-10-16,10
"83","10oct",11,"c","elre",80,26,1.5,NA,1.6,NA,2023-10-16,10
"84","10oct",12,"wp","elre",80,25,2.6,NA,3,NA,2023-10-16,10
"85","10oct",12,"wp","elre",80,21.5,1.9,NA,2,NA,2023-10-16,10
"86","10oct",11,"c","elre",80,19,1.2,NA,1.5,NA,2023-10-16,10
"87","10oct",12,"wp","elre",80,18.5,2,NA,2.1,NA,2023-10-16,10
"88","10oct",12,"wp","elre",80,18,1.5,NA,1.7,NA,2023-10-16,10
"89","10oct",12,"wp","elre",80,17,3.5,NA,2.8,NA,2023-10-16,10
"90","11nov",11,"c","elre",80,43,1.8,NA,1.7,NA,2023-11-13,11
"91","11nov",11,"c","elre",80,28,1.7,NA,2,NA,2023-11-13,11
"92","11nov",11,"c","elre",80,22,1.6,NA,1.5,NA,2023-11-13,11
"93","11nov",11,"c","elre",80,20,1.6,NA,1.2,NA,2023-11-13,11
"94","11nov",11,"c","elre",80,18,1.3,NA,1.1,NA,2023-11-13,11
"95","9oct",11,"c","elre",80,27.5,1.4,NA,1,NA,2023-10-04,10
"96","9oct",11,"c","elre",80,26,1.2,NA,1,NA,2023-10-04,10
"97","9oct",11,"c","elre",80,23,1.6,NA,1.5,NA,2023-10-04,10
"98","9oct",11,"c","elre",80,23,2.5,NA,1.9,NA,2023-10-04,10
"99","9oct",11,"c","elre",80,22.5,1.5,NA,1.1,NA,2023-10-04,10
"100","11nov",8,"w","elre",75,40,2.7,NA,1.7,NA,2023-11-13,11
"101","11nov",8,"w","elre",75,38,0.9,NA,0.9,NA,2023-11-13,11
"102","11nov",8,"w","elre",75,37,2.1,NA,2,NA,2023-11-13,11
"103","11nov",8,"w","elre",75,35,NA,0.02,NA,0.03,2023-11-13,11
"104","11nov",8,"w","elre",75,32.5,1.6,NA,1,NA,2023-11-13,11
"105","11nov",2,"c","ni_p2_1",75,17.5,1.6,NA,1.5,NA,2023-11-13,11
"106","11nov",2,"c","ni_p2_1",75,16.5,4,NA,3.8,NA,2023-11-13,11
"107","11nov",2,"c","ni_p2_1",75,16,2.3,NA,2.1,NA,2023-11-13,11
"108","11nov",2,"c","ni_p2_1",75,15,3.2,NA,2.6,NA,2023-11-13,11
"109","11nov",2,"c","ni_p2_1",75,13,1.7,NA,1.7,NA,2023-11-13,11
"110","5jul",11,"c","elre",75,45,1.2,NA,1,NA,2023-07-26,7
"111","5jul",11,"c","elre",75,42.5,1.3,NA,1.1,NA,2023-07-26,7
"112","5jul",11,"c","elre",75,38.5,1.5,NA,1.1,NA,2023-07-26,7
"113","5jul",11,"c","elre",75,35.5,1,NA,0.8,NA,2023-07-26,7
"114","5jul",11,"c","elre",75,28,1,NA,0.8,NA,2023-07-26,7
"115","10oct",16,"w","ni_p16_1",70,30,NA,0.02,NA,0.01,2023-10-16,10
"116","10oct",16,"w","ni_p16_1",70,27,NA,0.02,NA,0.02,2023-10-16,10
"117","10oct",16,"w","ni_p16_1",70,23,NA,0.01,NA,0.01,2023-10-16,10
"118","10oct",16,"w","ni_p16_1",70,21,NA,0.03,NA,0.02,2023-10-16,10
"119","10oct",16,"w","ni_p16_1",70,18,NA,0.01,NA,0.01,2023-10-16,10
"120","3jun",11,"c","elre",65,48,1.6,NA,1.8,NA,2023-06-28,6
"121","3jun",11,"c","elre",65,48,1.5,NA,1.4,NA,2023-06-28,6
"122","3jun",11,"c","elre",65,46,2,NA,1.5,NA,2023-06-28,6
"123","3jun",11,"c","elre",65,43,0.7,NA,0.8,NA,2023-06-28,6
"124","3jun",11,"c","elre",65,41,1.4,NA,1.5,NA,2023-06-28,6
"125","9oct",16,"w","ni_p16_1",65,29,0.8,NA,0.8,NA,2023-10-04,10
"126","9oct",16,"w","ni_p16_1",65,28.5,NA,0.09,NA,0.05,2023-10-04,10
"127","9oct",16,"w","ni_p16_1",65,20,NA,0.07,NA,0.06,2023-10-04,10
"128","9oct",16,"w","ni_p16_1",65,17,NA,0.09,NA,0.07,2023-10-04,10
"129","9oct",16,"w","ni_p16_1",65,12,NA,0.02,NA,0.02,2023-10-04,10
"130","0may",7,"c","fear",60,50,NA,NA,NA,NA,2023-05-04,5
"131","0may",7,"c","fear",60,48,NA,NA,NA,NA,2023-05-04,5
"132","0may",7,"c","fear",60,44,NA,NA,NA,NA,2023-05-04,5
"133","0may",7,"c","fear",60,44,NA,NA,NA,NA,2023-05-04,5
"134","0may",7,"c","fear",60,43,NA,NA,NA,NA,2023-05-04,5
"135","0may",7,"c","fear",60,43,NA,NA,NA,NA,2023-05-04,5
"136","0may",7,"c","fear",60,43,NA,NA,NA,NA,2023-05-04,5
"137","0may",7,"c","fear",60,42,NA,NA,NA,NA,2023-05-04,5
"138","0may",7,"c","fear",60,40,NA,NA,NA,NA,2023-05-04,5
"139","0may",7,"c","fear",60,40,NA,NA,NA,NA,2023-05-04,5
"140","0may",7,"c","fear",60,38,NA,NA,NA,NA,2023-05-04,5
"141","1may",11,"c","elre",60,45,NA,NA,NA,NA,2023-05-16,5
"142","1may",11,"c","elre",60,39.5,NA,NA,NA,NA,2023-05-16,5
"143","1may",11,"c","elre",60,39,NA,NA,NA,NA,2023-05-16,5
"144","1may",11,"c","elre",60,37,NA,NA,NA,NA,2023-05-16,5
"145","1may",11,"c","elre",60,36.5,NA,NA,NA,NA,2023-05-16,5
"146","1may",11,"c","elre",60,36.5,NA,NA,NA,NA,2023-05-16,5
"147","1may",11,"c","elre",60,36,NA,NA,NA,NA,2023-05-16,5
"148","1may",11,"c","elre",60,35.5,NA,NA,NA,NA,2023-05-16,5
"149","1may",11,"c","elre",60,35,NA,NA,NA,NA,2023-05-16,5
"150","1may",11,"c","elre",60,34.5,NA,NA,NA,NA,2023-05-16,5
"151","1may",11,"c","elre",60,33,NA,NA,NA,NA,2023-05-16,5
"152","1may",11,"c","elre",60,31,NA,NA,NA,NA,2023-05-16,5
"153","1may",11,"c","elre",60,29.5,NA,NA,NA,NA,2023-05-16,5
"154","1may",11,"c","elre",60,27.5,NA,NA,NA,NA,2023-05-16,5
"155","1may",11,"c","elre",60,25,NA,NA,NA,NA,2023-05-16,5
"156","1may",11,"c","elre",60,20,NA,NA,NA,NA,2023-05-16,5
"157","1may",11,"c","elre",60,18,NA,NA,NA,NA,2023-05-16,5
"158","1may",7,"c","fear",60,49,NA,NA,NA,NA,2023-05-16,5
"159","1may",7,"c","fear",60,48,NA,NA,NA,NA,2023-05-16,5
"160","1may",7,"c","fear",60,47,NA,NA,NA,NA,2023-05-16,5
"161","1may",7,"c","fear",60,45,NA,NA,NA,NA,2023-05-16,5
"162","1may",7,"c","fear",60,44,NA,NA,NA,NA,2023-05-16,5
"163","1may",7,"c","fear",60,42,NA,NA,NA,NA,2023-05-16,5
"164","1may",7,"c","fear",60,40,NA,NA,NA,NA,2023-05-16,5
"165","1may",7,"c","fear",60,37,NA,NA,NA,NA,2023-05-16,5
"166","1may",7,"c","fear",60,36,NA,NA,NA,NA,2023-05-16,5
"167","10oct",2,"c","ni_p2_1",60,27,3.5,NA,2.5,NA,2023-10-16,10
"168","10oct",2,"c","ni_p2_1",60,19,1.6,NA,2,NA,2023-10-16,10
"169","10oct",2,"c","ni_p2_1",60,16,2,NA,1.5,NA,2023-10-16,10
"170","10oct",2,"c","ni_p2_1",60,13,1,NA,1.3,NA,2023-10-16,10
"171","10oct",2,"c","ni_p2_1",60,11,1.5,NA,1.5,NA,2023-10-16,10
"172","11nov",13,"wp","vepe",60,14.5,1.5,NA,0.9,NA,2023-11-13,11
"173","11nov",13,"wp","vepe",60,14,1.1,NA,1,NA,2023-11-13,11
"174","11nov",13,"wp","vepe",60,12.5,0.9,NA,1,NA,2023-11-13,11
"175","11nov",13,"wp","vepe",60,7,0.6,NA,1.5,NA,2023-11-13,11
"176","11nov",13,"wp","vepe",60,1.6,NA,0.08,1.2,NA,2023-11-13,11
"177","5jul",8,"w","elre",60,50,2.1,NA,1.4,NA,2023-07-26,7
"178","5jul",8,"w","elre",60,43,1.1,NA,0.8,NA,2023-07-26,7
"179","5jul",12,"wp","elre",60,32,1.5,NA,1.2,NA,2023-07-26,7
"180","5jul",8,"w","elre",60,31,1,NA,1.2,NA,2023-07-26,7
"181","5jul",12,"wp","elre",60,25,2,NA,1.7,NA,2023-07-26,7
"182","5jul",12,"wp","elre",60,24.5,1.5,NA,1.1,NA,2023-07-26,7
"183","5jul",8,"w","elre",60,24,1.9,NA,1.3,NA,2023-07-26,7
"184","5jul",8,"w","elre",60,24,0.9,NA,0.9,NA,2023-07-26,7
"185","5jul",12,"wp","elre",60,23,1.8,NA,1.5,NA,2023-07-26,7
"186","5jul",12,"wp","elre",60,22,1.5,NA,1,NA,2023-07-26,7
"187","8sep",11,"c","elre",60,34,1.5,NA,1.5,NA,2023-09-18,9
"188","8sep",11,"c","elre",60,32,1.5,NA,1.3,NA,2023-09-18,9
"189","8sep",12,"wp","elre",60,28.5,2.7,NA,2.8,NA,2023-09-18,9
"190","8sep",11,"c","elre",60,28,1.5,NA,1.2,NA,2023-09-18,9
"191","8sep",11,"c","elre",60,28,1,NA,1,NA,2023-09-18,9
"192","8sep",11,"c","elre",60,26,1.3,NA,0.9,NA,2023-09-18,9
"193","8sep",12,"wp","elre",60,22,2.1,NA,2.5,NA,2023-09-18,9
"194","8sep",12,"wp","elre",60,21,4,NA,3,NA,2023-09-18,9
"195","8sep",12,"wp","elre",60,17.5,3,NA,2.4,NA,2023-09-18,9
"196","8sep",12,"wp","elre",60,14,1,1.01,1.2,NA,2023-09-18,9
"197","9oct",8,"w","elre",60,42,2.5,NA,1.8,NA,2023-10-04,10
"198","9oct",8,"w","elre",60,34,NA,0.07,NA,0.06,2023-10-04,10
"199","9oct",8,"w","elre",60,31,2.5,NA,1.8,NA,2023-10-04,10
"200","9oct",8,"w","elre",60,25,0.9,NA,1.2,NA,2023-10-04,10
"201","9oct",12,"wp","elre",60,24,3.3,NA,2,NA,2023-10-04,10
"202","9oct",8,"w","elre",60,24,1,NA,0.9,NA,2023-10-04,10
"203","9oct",12,"wp","elre",60,23,2,NA,1.7,NA,2023-10-04,10
"204","9oct",12,"wp","elre",60,22,1.8,NA,1.5,NA,2023-10-04,10
"205","9oct",12,"wp","elre",60,18.5,3,NA,1.8,NA,2023-10-04,10
"206","9oct",12,"wp","elre",60,17.5,3.5,NA,2.6,NA,2023-10-04,10
"207","1may",16,"w","brst",55,135,NA,NA,NA,NA,2023-05-16,5
"208","1may",16,"w","brst",55,129,NA,NA,NA,NA,2023-05-16,5
"209","1may",16,"w","brst",55,126,NA,NA,NA,NA,2023-05-16,5
"210","1may",16,"w","brst",55,121,NA,NA,NA,NA,2023-05-16,5
"211","1may",16,"w","brst",55,119,NA,NA,NA,NA,2023-05-16,5
"212","1may",16,"w","brst",55,117,NA,NA,NA,NA,2023-05-16,5
"213","1may",16,"w","brst",55,107,NA,NA,NA,NA,2023-05-16,5
"214","1may",16,"w","brst",55,105,NA,NA,NA,NA,2023-05-16,5
"215","1may",16,"w","brst",55,98,NA,NA,NA,NA,2023-05-16,5
"216","1may",16,"w","brst",55,96,NA,NA,NA,NA,2023-05-16,5
"217","1may",16,"w","brst",55,93,NA,NA,NA,NA,2023-05-16,5
"218","1may",16,"w","brst",55,77,NA,NA,NA,NA,2023-05-16,5
"219","1may",16,"w","brst",55,69,NA,NA,NA,NA,2023-05-16,5
"220","9oct",2,"c","ni_p2_1",55,25,3.5,NA,2.5,NA,2023-10-04,10
"221","9oct",2,"c","ni_p2_1",55,21.5,2,NA,1.8,NA,2023-10-04,10
"222","9oct",2,"c","ni_p2_1",55,16,NA,0.11,NA,0.1,2023-10-04,10
"223","9oct",2,"c","ni_p2_1",55,16,1.7,NA,1.5,NA,2023-10-04,10
"224","9oct",2,"c","ni_p2_1",55,13.5,2.1,NA,2,NA,2023-10-04,10
"225","6aug",3,"p","ch",52,73,NA,0.77,36,NA,2023-08-22,8
"226","6aug",3,"p","ch",52,57,NA,0.35,2.4,NA,2023-08-22,8
"227","6aug",3,"p","ch",52,50,NA,0.43,24,NA,2023-08-22,8
"228","6aug",3,"p","ch",52,43.5,NA,0.29,1.5,NA,2023-08-22,8
"229","6aug",3,"p","ch",52,41,NA,0.36,NA,0.17,2023-08-22,8
"230","0may",6,"p","fear",50,65,NA,NA,NA,NA,2023-05-04,5
"231","0may",6,"p","fear",50,59,NA,NA,NA,NA,2023-05-04,5
"232","0may",6,"p","fear",50,55,NA,NA,NA,NA,2023-05-04,5
"233","0may",11,"c","fear",50,49,NA,NA,NA,NA,2023-05-04,5
"234","0may",6,"p","fear",50,49,NA,NA,NA,NA,2023-05-04,5
"235","0may",6,"p","fear",50,47,NA,NA,NA,NA,2023-05-04,5
"236","0may",11,"c","fear",50,45,NA,NA,NA,NA,2023-05-04,5
"237","0may",11,"c","fear",50,44,NA,NA,NA,NA,2023-05-04,5
"238","0may",6,"p","fear",50,44,NA,NA,NA,NA,2023-05-04,5
"239","0may",11,"c","fear",50,43,NA,NA,NA,NA,2023-05-04,5
"240","0may",11,"c","fear",50,43,NA,NA,NA,NA,2023-05-04,5
"241","0may",11,"c","fear",50,41,NA,NA,NA,NA,2023-05-04,5
"242","0may",6,"p","fear",50,41,NA,NA,NA,NA,2023-05-04,5
"243","0may",6,"p","fear",50,41,NA,NA,NA,NA,2023-05-04,5
"244","0may",11,"c","fear",50,40,NA,NA,NA,NA,2023-05-04,5
"245","0may",6,"p","fear",50,39,NA,NA,NA,NA,2023-05-04,5
"246","0may",6,"p","fear",50,39,NA,NA,NA,NA,2023-05-04,5
"247","0may",11,"c","fear",50,38,NA,NA,NA,NA,2023-05-04,5
"248","0may",11,"c","fear",50,38,NA,NA,NA,NA,2023-05-04,5
"249","0may",11,"c","fear",50,37,NA,NA,NA,NA,2023-05-04,5
"250","0may",11,"c","fear",50,37,NA,NA,NA,NA,2023-05-04,5
"251","0may",11,"c","fear",50,37,NA,NA,NA,NA,2023-05-04,5
"252","0may",11,"c","fear",50,36,NA,NA,NA,NA,2023-05-04,5
"253","0may",11,"c","fear",50,34,NA,NA,NA,NA,2023-05-04,5
"254","0may",6,"p","fear",50,34,NA,NA,NA,NA,2023-05-04,5
"255","0may",11,"c","fear",50,33,NA,NA,NA,NA,2023-05-04,5
"256","0may",11,"c","fear",50,33,NA,NA,NA,NA,2023-05-04,5
"257","0may",11,"c","fear",50,32,NA,NA,NA,NA,2023-05-04,5
"258","0may",11,"c","fear",50,32,NA,NA,NA,NA,2023-05-04,5
"259","0may",11,"c","fear",50,32,NA,NA,NA,NA,2023-05-04,5
"260","0may",6,"p","fear",50,31,NA,NA,NA,NA,2023-05-04,5
"261","0may",11,"c","fear",50,26,NA,NA,NA,NA,2023-05-04,5
"262","0may",11,"c","fear",50,25,NA,NA,NA,NA,2023-05-04,5
"263","1may",9,"w","elre",50,68,NA,NA,NA,NA,2023-05-16,5
"264","1may",9,"w","elre",50,63,NA,NA,NA,NA,2023-05-16,5
"265","1may",9,"w","elre",50,61,NA,NA,NA,NA,2023-05-16,5
"266","1may",9,"w","elre",50,60,NA,NA,NA,NA,2023-05-16,5
"267","1may",9,"w","elre",50,59,NA,NA,NA,NA,2023-05-16,5
"268","1may",9,"w","elre",50,58,NA,NA,NA,NA,2023-05-16,5
"269","1may",9,"w","elre",50,58,NA,NA,NA,NA,2023-05-16,5
"270","1may",9,"w","elre",50,57.5,NA,NA,NA,NA,2023-05-16,5
"271","1may",9,"w","elre",50,57,NA,NA,NA,NA,2023-05-16,5
"272","1may",9,"w","elre",50,57,NA,NA,NA,NA,2023-05-16,5
"273","1may",9,"w","elre",50,55,NA,NA,NA,NA,2023-05-16,5
"274","1may",9,"w","elre",50,54,NA,NA,NA,NA,2023-05-16,5
"275","1may",9,"w","elre",50,54,NA,NA,NA,NA,2023-05-16,5
"276","1may",9,"w","elre",50,54,NA,NA,NA,NA,2023-05-16,5
"277","1may",9,"w","elre",50,51,NA,NA,NA,NA,2023-05-16,5
"278","1may",9,"w","elre",50,51,NA,NA,NA,NA,2023-05-16,5
"279","1may",9,"w","elre",50,49.5,NA,NA,NA,NA,2023-05-16,5
"280","1may",9,"w","elre",50,49,NA,NA,NA,NA,2023-05-16,5
"281","1may",9,"w","elre",50,48.5,NA,NA,NA,NA,2023-05-16,5
"282","1may",9,"w","elre",50,48,NA,NA,NA,NA,2023-05-16,5
"283","1may",9,"w","elre",50,47,NA,NA,NA,NA,2023-05-16,5
"284","1may",9,"w","elre",50,45,NA,NA,NA,NA,2023-05-16,5
"285","3jun",1,"w","fear",50,154,7,NA,NA,0.25,2023-06-28,6
"286","3jun",1,"w","fear",50,133,20,NA,2,NA,2023-06-28,6
"287","3jun",1,"w","fear",50,123,31,NA,3.5,NA,2023-06-28,6
"288","3jun",1,"w","fear",50,108,25,NA,2,NA,2023-06-28,6
"289","3jun",1,"w","fear",50,69,11,NA,4,NA,2023-06-28,6
"290","6aug",15,"p","am",50,79,15,NA,98,NA,2023-08-22,8
"291","7sep",3,"p","ch",50,70,NA,0.86,20,NA,2023-09-04,9
"292","7sep",3,"p","ch",50,57,NA,0.45,3,NA,2023-09-04,9
"293","7sep",3,"p","ch",50,49,NA,0.44,15,NA,2023-09-04,9
"294","7sep",3,"p","ch",50,43,NA,0.23,2.1,NA,2023-09-04,9
"295","7sep",11,"c","elre",50,41,1.2,NA,1,NA,2023-09-04,9
"296","7sep",3,"p","ch",50,39.5,NA,0.47,5,NA,2023-09-04,9
"297","7sep",11,"c","elre",50,38.5,1,NA,0.9,NA,2023-09-04,9
"298","7sep",11,"c","elre",50,35,1.2,NA,1,NA,2023-09-04,9
"299","7sep",11,"c","elre",50,32,1,NA,0.9,NA,2023-09-04,9
"300","7sep",11,"c","elre",50,30,0.9,NA,0.7,NA,2023-09-04,9
"301","8sep",3,"p","ch",50,65,NA,0.91,8.5,NA,2023-09-18,9
"302","8sep",3,"p","ch",50,56,NA,0.36,NA,0.16,2023-09-18,9
"303","8sep",3,"p","ch",50,45,NA,0.51,6.5,NA,2023-09-18,9
"304","8sep",3,"p","ch",50,41,NA,0.42,NA,0.2,2023-09-18,9
"305","8sep",3,"p","ch",50,40,NA,0.43,5.5,NA,2023-09-18,9
"306","9oct",7,"c","ni_p7_1",50,37,1.7,NA,1.5,NA,2023-10-04,10
"307","9oct",7,"c","ni_p7_1",50,34,1.5,NA,1.6,NA,2023-10-04,10
"308","9oct",7,"c","ni_p7_1",50,27,1.7,NA,1.4,NA,2023-10-04,10
"309","9oct",7,"c","ni_p7_1",50,25.5,1,NA,1.1,NA,2023-10-04,10
"310","9oct",7,"c","ni_p7_1",50,22,1.9,NA,1.5,NA,2023-10-04,10
"311","10oct",15,"p","am",45,85,33,NA,120,NA,2023-10-16,10
"312","10oct",1,"w","fear",45,46,24.5,NA,7.5,NA,2023-10-16,10
"313","10oct",1,"w","fear",45,45.5,28,NA,8.8,NA,2023-10-16,10
"314","10oct",1,"w","fear",45,45,11,NA,5.5,NA,2023-10-16,10
"315","10oct",1,"w","fear",45,37,4.5,NA,3.2,NA,2023-10-16,10
"316","10oct",1,"w","fear",45,22,21,NA,6,NA,2023-10-16,10
"317","4jul",8,"w","elre",45,58.5,2.2,NA,2.3,NA,2023-07-11,7
"318","4jul",8,"w","elre",45,48,2.5,NA,1.6,NA,2023-07-11,7
"319","4jul",8,"w","elre",45,47,1.6,NA,1.4,NA,2023-07-11,7
"320","4jul",8,"w","elre",45,46.5,2.5,NA,2,NA,2023-07-11,7
"321","4jul",8,"w","elre",45,43,1.8,NA,1.5,NA,2023-07-11,7
"322","7sep",15,"p","am",45,79,49,NA,114,NA,2023-09-04,9
"323","8sep",15,"p","am",45,84,26,NA,102,NA,2023-09-18,9
"324","8sep",1,"w","fear",45,44,16,NA,9,NA,2023-09-18,9
"325","8sep",1,"w","fear",45,33,19,NA,8.5,NA,2023-09-18,9
"326","8sep",1,"w","fear",45,30,25,NA,16,NA,2023-09-18,9
"327","8sep",1,"w","fear",45,22,26,NA,12,NA,2023-09-18,9
"328","8sep",1,"w","fear",45,16,7,NA,4.2,NA,2023-09-18,9
"329","9oct",15,"p","am",45,82,15,NA,135,NA,2023-10-04,10
"330","0may",3,"p","brst",40,74,NA,NA,NA,NA,2023-05-04,5
"331","0may",3,"p","brst",40,72,NA,NA,NA,NA,2023-05-04,5
"332","0may",3,"p","brst",40,72,NA,NA,NA,NA,2023-05-04,5
"333","0may",3,"p","brst",40,71,NA,NA,NA,NA,2023-05-04,5
"334","0may",3,"p","brst",40,70.5,NA,NA,NA,NA,2023-05-04,5
"335","0may",3,"p","brst",40,70,NA,NA,NA,NA,2023-05-04,5
"336","0may",3,"p","brst",40,69,NA,NA,NA,NA,2023-05-04,5
"337","0may",3,"p","brst",40,69,NA,NA,NA,NA,2023-05-04,5
"338","0may",3,"p","brst",40,69,NA,NA,NA,NA,2023-05-04,5
"339","0may",3,"p","brst",40,68,NA,NA,NA,NA,2023-05-04,5
