"","year","date","block","plot","treatment","moose.cage","trap.type","trap.num","genus","species","code","abundance"
"37",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","1","Aphaenogaster","picea","aphpic",1
"38",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","11","Aphaenogaster","picea","aphpic",1
"39",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","12","Aphaenogaster","picea","aphpic",2
"40",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","12","Temnothorax","longispinosus","temlon",17
"41",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","2","Lasius","umbratus","lasumb",9
"42",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","22","Aphaenogaster","picea","aphpic",1
"43",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","7","Aphaenogaster","picea","aphpic",2
"44",2004,"2004-07-16","Ridge",4,"Logged","","pitfall","9","Lasius","umbratus","lasumb",1
"45",2005,"2005-06-20","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",12
"46",2005,"2005-06-20","Ridge",4,"Logged","","hand","","Camponotus","novaeboracensis","camnov",1
"47",2005,"2005-06-20","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",7
"48",2005,"2005-06-20","Ridge",4,"Logged","","hand","","Temnothorax","lognispinosus","temlon",5
"49",2005,"2005-06-20","Ridge",4,"Logged","","litter","","Aphaenogaster","picea","aphpic",21
"50",2005,"2005-06-22","Ridge",4,"Logged","","bait","","Aphaenogaster","picea","aphpic",44
"51",2005,"2005-06-22","Ridge",4,"Logged","","bait","","Camponotus","pennsylvanicus","campen",4
"52",2005,"2005-06-22","Ridge",4,"Logged","","pitfall","1","Aphaenogaster","picea","aphpic",1
"53",2005,"2005-06-22","Ridge",4,"Logged","","pitfall","16","Stenamma","impar","steimp",1
"54",2005,"2005-06-22","Ridge",4,"Logged","","pitfall","2","Aphaenogaster","fulva","aphful",1
"55",2005,"2005-06-22","Ridge",4,"Logged","","pitfall","2","Aphaenogaster","picea","aphpic",1
"56",2005,"2005-06-22","Ridge",4,"Logged","","pitfall","22","Aphaenogaster","picea","aphpic",1
"57",2005,"2005-06-22","Ridge",4,"Logged","","pitfall","6","Aphaenogaster","picea","aphpic",1
"58",2005,"2005-07-20","Ridge",4,"Logged","","bait","","Aphaenogaster","picea","aphpic",18
"59",2005,"2005-07-20","Ridge",4,"Logged","","bait","","Camponotus","pennsylvanicus","campen",1
"60",2005,"2005-07-20","Ridge",4,"Logged","","pitfall","1","Aphaenogaster","picea","aphpic",2
"61",2005,"2005-07-20","Ridge",4,"Logged","","pitfall","9","Camponotus","pennsylvanicus","campen",1
"62",2005,"2005-08-17","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",4
"63",2005,"2005-08-17","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",1
"64",2006,"2006-07-06","Ridge",4,"Logged","","bait","","Aphaenogaster","picea","aphpic",19
"65",2006,"2006-07-06","Ridge",4,"Logged","","bait","","Camponotus","pennsylvanicus","campen",1
"66",2006,"2006-07-06","Ridge",4,"Logged","","bait","","Temnothorax","longispinosus","temlon",4
"67",2006,"2006-07-06","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",2
"68",2006,"2006-07-06","Ridge",4,"Logged","","hand","","Camponotus","herculeanus","camher",3
"69",2006,"2006-07-06","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",2
"70",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","13","Aphaenogaster","picea","aphpic",13
"71",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","15","Aphaenogaster","picea","aphpic",1
"72",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","16","Aphaenogaster","picea","aphpic",3
"73",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","18","Aphaenogaster","picea","aphpic",1
"74",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","20","Aphaenogaster","picea","aphpic",4
"75",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","21","Temnothorax","longispinosus","temlon",1
"76",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","25","Aphaenogaster","picea","aphpic",2
"77",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","3","Aphaenogaster","picea","aphpic",1
"78",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","4","Aphaenogaster","picea","aphpic",3
"79",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","5","Aphaenogaster","picea","aphpic",2
"80",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","6","Aphaenogaster","picea","aphpic",2
"81",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","9","Aphaenogaster","picea","aphpic",2
"82",2006,"2006-07-06","Ridge",4,"Logged","","pitfall","9","Camponotus","pennsylvanicus","campen",1
"83",2006,"2006-08-03","Ridge",4,"Logged","","bait","","Aphaenogaster","picea","aphpic",53
"84",2006,"2006-08-03","Ridge",4,"Logged","","bait","","Camponotus","pennsylvanicus","campen",1
"85",2006,"2006-08-03","Ridge",4,"Logged","","bait","","Lasius","neoniger","lasneo",2
"86",2006,"2006-08-03","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",4
"87",2006,"2006-08-03","Ridge",4,"Logged","","hand","","Camponotus","herculeanus","camher",1
"88",2006,"2006-08-03","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",8
"89",2006,"2006-08-03","Ridge",4,"Logged","","litter","","Aphaenogaster","picea","aphpic",3
"90",2007,"2007-07-17","Ridge",4,"Logged","","hand","","Aphaenogaster","fulva","aphful",NA
"91",2007,"2007-07-17","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",NA
"92",2007,"2007-07-17","Ridge",4,"Logged","","hand","","Camponotus","novaeboracensis","camnov",NA
"93",2007,"2007-07-17","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",NA
"94",2007,"2007-07-19","Ridge",4,"Logged","","bait","","Aphaenogaster","picea","aphpic",NA
"95",2007,"2007-07-19","Ridge",4,"Logged","","bait","","Camponotus","pennsylvanicus","campen",NA
"96",2007,"2007-07-19","Ridge",4,"Logged","","pitfall","","Aphaenogaster","fulva","aphful",NA
"97",2007,"2007-07-19","Ridge",4,"Logged","","pitfall","","Aphaenogaster","picea","aphpic",NA
"98",2007,"2007-07-19","Ridge",4,"Logged","","pitfall","","Camponotus","pennsylvanicus","campen",NA
"99",2007,"2007-07-19","Ridge",4,"Logged","","pitfall","","Myrmica","AF-smi","myrsmi",NA
"100",2008,"2008-07-11","Ridge",4,"Logged","","bait","","Aphaenogaster","picea","aphpic",29
"101",2008,"2008-07-11","Ridge",4,"Logged","","bait","","Camponotus","pennsylvanicus","campen",3
"102",2008,"2008-07-11","Ridge",4,"Logged","","hand","","Aphaenogaster","picea","aphpic",5
"103",2008,"2008-07-11","Ridge",4,"Logged","","hand","","Camponotus","novaeboracensis","camnov",5
"104",2008,"2008-07-11","Ridge",4,"Logged","","hand","","Camponotus","pennsylvanicus","campen",1
"105",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","1","Aphaenogaster","picea","aphpic",2
"106",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","1","Camponotus","pennsylvanicus","campen",1
"107",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","15","Aphaenogaster","picea","aphpic",1
"108",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","17","Aphaenogaster","picea","aphpic",1
"109",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","25","Aphaenogaster","picea","aphpic",1
"110",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","25","Camponotus","novaeboracensis","camnov",1
"111",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","3","Aphaenogaster","picea","aphpic",1
"112",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","4","Aphaenogaster","picea","aphpic",1
"113",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","7","Aphaenogaster","picea","aphpic",1
"114",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","7","Camponotus","pennsylvanicus","campen",1
"115",2008,"2008-07-11","Ridge",4,"Logged","","pitfall","9","Camponotus","pennsylvanicus","campen",1
"116",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","10","Aphaenogaster","picea","aphpic",1
"117",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","10","Lasius","umbratus","lasumb",1
"118",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","12","Camponotus","pennsylvanicus","campen",1
"119",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","13","Aphaenogaster","picea","aphpic",1
"120",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","14","Camponotus","pennsylvanicus","campen",1
"121",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","15","Camponotus","pennsylvanicus","campen",1
"122",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","18","Camponotus","pennsylvanicus","campen",1
"123",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","2","Temnothorax","longispinosus","temlon",1
"124",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","20","Aphaenogaster","picea","aphpic",1
"125",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","20","Camponotus","pennsylvanicus","campen",1
"126",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","3","Aphaenogaster","picea","aphpic",3
"127",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","3","Camponotus","pennsylvanicus","campen",1
"128",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","3","Lasius","umbratus","lasumb",1
"129",2009,"2009-07-17","Ridge",4,"Logged","","pitfall","3","Myrmica","punctiventris","myrpun",1
"130",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","1","Aphaenogaster","picea","aphpic",2
"131",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","1","Camponotus","pennsylvanicus","campen",2
"132",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","10","Aphaenogaster","picea","aphpic",2
"133",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","10","Camponotus","pennsylvanicus","campen",4
"134",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","11","Aphaenogaster","picea","aphpic",3
"135",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","11","Camponotus","novaeboracensis","camnov",1
"136",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","11","Camponotus","pennsylvanicus","campen",5
"137",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","12","Camponotus","pennsylvanicus","campen",1
"138",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","14","Aphaenogaster","picea","aphpic",29
"139",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","14","Camponotus","pennsylvanicus","campen",1
"140",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","14","Myrmica","AF-scu","myrscu",1
"141",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","15","Aphaenogaster","picea","aphpic",1
"142",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","15","Camponotus","novaeboracensis","camnov",1
"143",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","16","Aphaenogaster","picea","aphpic",1
"144",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","16","Camponotus","pennsylvanicus","campen",1
"145",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","17","Aphaenogaster","fulva","aphful",2
"146",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","17","Aphaenogaster","picea","aphpic",2
"147",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","18","Aphaenogaster","picea","aphpic",5
"148",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","19","Aphaenogaster","picea","aphpic",2
"149",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","2","Camponotus","pennsylvanicus","campen",1
"150",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","21","Aphaenogaster","picea","aphpic",1
"151",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","21","Camponotus","pennsylvanicus","campen",2
"152",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","22","Camponotus","pennsylvanicus","campen",1
"153",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","23","Aphaenogaster","fulva","aphful",2
"154",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","23","Aphaenogaster","picea","aphpic",2
"155",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","23","Camponotus","novaeboracensis","camnov",1
"156",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","23","Camponotus","pennsylvanicus","campen",3
"157",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","24","Aphaenogaster","picea","aphpic",5
"158",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","24","Formica","dolosa","fordol",1
"159",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","25","Aphaenogaster","picea","aphpic",1
"160",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","25","Camponotus","novaeboracensis","camnov",1
"161",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","25","Camponotus","pennsylvanicus","campen",2
"162",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","4","Camponotus","pennsylvanicus","campen",4
"163",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","5","Aphaenogaster","picea","aphpic",1
"164",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","7","Camponotus","pennsylvanicus","campen",8
"165",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","8","Aphaenogaster","picea","aphpic",3
"166",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","8","Camponotus","pennsylvanicus","campen",3
"167",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","9","Aphaenogaster","picea","aphpic",1
"168",2010,"2010-07-23","Ridge",4,"Logged","","pitfall","9","Camponotus","pennsylvanicus","campen",1
"169",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","1","Camponotus","pennsylvanicus","campen",4
"170",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","10","Aphaenogaster","picea","aphpic",2
"171",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","10","Camponotus","pennsylvanicus","campen",2
"172",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","11","Aphaenogaster","picea","aphpic",4
"173",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","11","Camponotus","pennsylvanicus","campen",21
"174",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","12","Camponotus","pennsylvanicus","campen",2
"175",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","13","Camponotus","pennsylvanicus","campen",1
"176",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","14","Aphaenogaster","picea","aphpic",1
"177",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","14","Myrmica","nearctica","myrnea",2
"178",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","14","Myrmica","punctiventris","myrpun",1
"179",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","15","Aphaenogaster","picea","aphpic",4
"180",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","15","Camponotus","pennsylvanicus","campen",1
"181",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","17","Aphaenogaster","picea","aphpic",1
"182",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","17","Camponotus","pennsylvanicus","campen",5
"183",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","18","Aphaenogaster","picea","aphpic",2
"184",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","2","Aphaenogaster","picea","aphpic",1
"185",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","2","Camponotus","pennsylvanicus","campen",5
"186",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","2","Formica","subsericea","forsub3",2
"187",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","20","Aphaenogaster","picea","aphpic",1
"188",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","20","Camponotus","pennsylvanicus","campen",5
"189",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","25","Aphaenogaster","picea","aphpic",1
"190",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","25","Camponotus","pennsylvanicus","campen",3
"191",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","25","Formica","dolosa","fordol",1
"192",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","3","Camponotus","pennsylvanicus","campen",2
"193",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","4","Camponotus","pennsylvanicus","campen",1
"194",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","5","Aphaenogaster","fulva","aphful",2
"195",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","5","Aphaenogaster","picea","aphpic",2
"196",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","5","Camponotus","pennsylvanicus","campen",1
"197",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","5","Formica","dolosa","fordol",1
"198",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","6","Aphaenogaster","picea","aphpic",1
"199",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","6","Camponotus","pennsylvanicus","campen",20
"200",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","7","Camponotus","pennsylvanicus","campen",8
"201",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","8","Camponotus","novaeboracensis","camnov",1
"202",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","9","Aphaenogaster","picea","aphpic",3
"203",2011,"2011-07-20","Ridge",4,"Logged","","pitfall","9","Camponotus","pennsylvanicus","campen",2
"204",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","1","Aphaenogaster","picea","aphpic",1
"205",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","1","Camponotus","pennsylvanicus","campen",2
"206",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","2","Aphaenogaster","picea","aphpic",1
"207",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","2","Camponotus","pennsylvanicus","campen",3
"208",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","2","Formica","subsericea","forsub3",2
"209",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","3","Camponotus","pennsylvanicus","campen",6
"210",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","4","Aphaenogaster","picea","aphpic",2
"211",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","4","Camponotus","pennsylvanicus","campen",2
"212",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","4","Formica","subsericea","forsub3",3
"213",2012,"2012-07-11","Ridge",4,"Logged","Exterior","pitfall","5","Tapinoma","sessile","tapses",1
"214",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","1","Camponotus","pennsylvanicus","campen",1
"215",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","10","Aphaenogaster","picea","aphpic",3
"216",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","10","Formica","subsericea","forsub3",1
"217",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","11","Formica","dolosa","fordol",1
"218",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","12","Aphaenogaster","picea","aphpic",1
"219",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","14","Aphaenogaster","fulva","aphful",3
"220",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","14","Aphaenogaster","picea","aphpic",3
"221",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","14","Camponotus","novaeboracensis","camnov",1
"222",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","15","Aphaenogaster","picea","aphpic",4
"223",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","15","Camponotus","pennsylvanicus","campen",1
"224",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","16","Aphaenogaster","picea","aphpic",1
"225",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","16","Camponotus","pennsylvanicus","campen",1
"226",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","17","Aphaenogaster","picea","aphpic",1
"227",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","18","Aphaenogaster","picea","aphpic",2
"228",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","18","Camponotus","pennsylvanicus","campen",1
"229",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","20","Aphaenogaster","picea","aphpic",1
"230",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","21","Aphaenogaster","picea","aphpic",1
"231",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","22","Camponotus","pennsylvanicus","campen",1
"232",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","25","Aphaenogaster","picea","aphpic",2
"233",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","3","Aphaenogaster","picea","aphpic",4
"234",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","3","Camponotus","pennsylvanicus","campen",4
"235",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","4","Camponotus","pennsylvanicus","campen",1
"236",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","4","Formica","subsericea","forsub3",1
"237",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","5","Aphaenogaster","picea","aphpic",1
"238",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","5","Formica","neogagates","forneo1",1
"239",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","5","Formica","subsericea","forsub3",1
"240",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","6","Aphaenogaster","picea","aphpic",1
"241",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","7","Aphaenogaster","picea","aphpic",1
"242",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","7","Camponotus","pennsylvanicus","campen",1
"243",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","8","Camponotus","pennsylvanicus","campen",1
"244",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","8","Formica","subsericea","forsub3",1
"245",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","9","Aphaenogaster","picea","aphpic",3
"246",2012,"2012-07-11","Ridge",4,"Logged","Interior","pitfall","9","Camponotus","pennsylvanicus","campen",1
"247",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","1","Aphaenogaster","picea","aphpic",2
"248",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","1","Formica","subsericea","forsub3",6
"249",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","10","Aphaenogaster","picea","aphpic",2
"250",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","11","Aphaenogaster","picea","aphpic",2
"251",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","11","Camponotus","pennsylvanicus","campen",1
"252",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","11","Formica","subsericea","forsub3",8
"253",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","12","Aphaenogaster","fulva","aphful",2
"254",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","12","Aphaenogaster","picea","aphpic",2
"255",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","12","Formica","subsericea","forsub3",1
"256",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","13","Aphaenogaster","picea","aphpic",5
"257",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","13","Camponotus","pennsylvanicus","campen",1
"258",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","13","Formica","subsericea","forsub3",4
"259",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","14","Aphaenogaster","picea","aphpic",3
"260",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","14","Camponotus","pennsylvanicus","campen",1
"261",2013,"2013-07-17","Ridge",4,"Logged","Exterior","pitfall","14","Formica","subsericea","forsub3",4
