"","sampling","treatment","date","month","code","species","family","genus_level","species_level","abundance","n_species","total_abundance"
"29","0","c",2023-05-04,"May","gemo","Geranium molle","Geraniaceae","Geranium","molle",0.5,30,110.5
"30","0","c",2023-05-04,"May","valo","Valerianella locusta","Caprifoleaceae","Valerianella","locusta",0.5,30,110.5
"31","0","p",2023-05-04,"May","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",3.55,21,106.075
"32","0","p",2023-05-04,"May","poan","Poa annua","Poaceae","Poa","annua",0.25,21,106.075
"33","0","p",2023-05-04,"May","bepe","Bellis perennis","Asteraceae","Bellis","perennis",0.75,21,106.075
"34","0","p",2023-05-04,"May","brho","Bromus hordeaceus","Poaceae","Bromus","hordeaceus",6.5,21,106.075
"35","0","p",2023-05-04,"May","avst","Avena sterilis","Poaceae","Avena","sterilis",0.125,21,106.075
"36","0","p",2023-05-04,"May","brst","Bromus sterillis","Poaceae","Bromus","sterillis",33.75,21,106.075
"37","0","p",2023-05-04,"May","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",2.75,21,106.075
"38","0","p",2023-05-04,"May","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",2.75,21,106.075
"39","0","p",2023-05-04,"May","trfr","Trifolium fragiferum","Fabaceae","Trifolium","fragiferum",2.5,21,106.075
"40","0","p",2023-05-04,"May","trre","Trifolium repens","Fabaceae","Trifolium","repens",0.5,21,106.075
"41","0","p",2023-05-04,"May","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",1.25,21,106.075
"42","0","p",2023-05-04,"May","visa","Vicia sativa","Fabaceae","Vicia","sativa",6.5,21,106.075
"43","0","p",2023-05-04,"May","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",5.775,21,106.075
"44","0","p",2023-05-04,"May","mear","Medicago arabica","Fabaceae","Medicago","arabica",4.25,21,106.075
"45","0","p",2023-05-04,"May","gemo","Geranium molle","Geraniaceae","Geranium","molle",0.125,21,106.075
"46","0","p",2023-05-04,"May","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",23.25,21,106.075
"47","0","p",2023-05-04,"May","vepe","Veronica persica","Plantaginaceae","Veronica","persica",0.25,21,106.075
"48","0","p",2023-05-04,"May","to","Torilis sp","Apieaceae","Torilis","sp",5.5,21,106.075
"49","0","p",2023-05-04,"May","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",5,21,106.075
"50","0","p",2023-05-04,"May","trdu","Trifolium dubium","Fabaceae","Trifolium","dubium",0.25,21,106.075
"51","0","p",2023-05-04,"May","apar","Aphanes arvensis","Rosaceae","Aphanes","arvensis",0.5,21,106.075
"52","0","w",2023-05-04,"May","apar","Aphanes arvensis","Rosaceae","Aphanes","arvensis",0.25,23,108.475
"53","0","w",2023-05-04,"May","gemo","Geranium molle","Geraniaceae","Geranium","molle",0.125,23,108.475
"54","0","w",2023-05-04,"May","brst","Bromus sterillis","Poaceae","Bromus","sterillis",27.5,23,108.475
"55","0","w",2023-05-04,"May","avst","Avena sterilis","Poaceae","Avena","sterilis",0.125,23,108.475
"56","0","w",2023-05-04,"May","poan","Poa annua","Poaceae","Poa","annua",7.75,23,108.475
"57","0","w",2023-05-04,"May","libi","Linum bienne","Linaceae","Linum","bienne",0.05,23,108.475
"58","0","w",2023-05-04,"May","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",18.25,23,108.475
"59","0","w",2023-05-04,"May","bepe","Bellis perennis","Asteraceae","Bellis","perennis",0.5,23,108.475
"60","0","w",2023-05-04,"May","rabu","Ranunculus bulbosus","Ranunculaceae","Ranunculus","bulbosus",3.75,23,108.475
"61","0","w",2023-05-04,"May","mear","Medicago arabica","Fabaceae","Medicago","arabica",0.625,23,108.475
"62","0","w",2023-05-04,"May","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",0.25,23,108.475
"63","0","w",2023-05-04,"May","brho","Bromus hordeaceus","Poaceae","Bromus","hordeaceus",2.75,23,108.475
"64","0","w",2023-05-04,"May","cegl","Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum",0.5,23,108.475
"65","0","w",2023-05-04,"May","hyra","Hypochaeris radicata","Asteraceae","Hypochaeris","radicata",1,23,108.475
"66","0","w",2023-05-04,"May","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",2.5,23,108.475
"67","0","w",2023-05-04,"May","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",16.3,23,108.475
"68","0","w",2023-05-04,"May","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",10,23,108.475
"69","0","w",2023-05-04,"May","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",4.625,23,108.475
"70","0","w",2023-05-04,"May","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",1.5,23,108.475
"71","0","w",2023-05-04,"May","trre","Trifolium repens","Fabaceae","Trifolium","repens",1,23,108.475
"72","0","w",2023-05-04,"May","visa","Vicia sativa","Fabaceae","Vicia","sativa",4,23,108.475
"73","0","w",2023-05-04,"May","to","Torilis sp","Apieaceae","Torilis","sp",3.625,23,108.475
"74","0","w",2023-05-04,"May","trdu","Trifolium dubium","Fabaceae","Trifolium","dubium",1.5,23,108.475
"75","0","wp",2023-05-04,"May","cegl","Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum",0.5,23,104
"76","0","wp",2023-05-04,"May","rabu","Ranunculus bulbosus","Ranunculaceae","Ranunculus","bulbosus",0.5,23,104
"77","0","wp",2023-05-04,"May","opap","Ophrys apifera","Orchidaceae","Ophrys","apifera",0.25,23,104
"78","0","wp",2023-05-04,"May","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",1.25,23,104
"79","0","wp",2023-05-04,"May","brst","Bromus sterillis","Poaceae","Bromus","sterillis",27.75,23,104
"80","0","wp",2023-05-04,"May","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",8,23,104
"81","0","wp",2023-05-04,"May","poan","Poa annua","Poaceae","Poa","annua",4,23,104
"82","0","wp",2023-05-04,"May","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",2,23,104
"83","0","wp",2023-05-04,"May","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",5.75,23,104
"84","0","wp",2023-05-04,"May","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",11.25,23,104
"85","0","wp",2023-05-04,"May","cadi","Carex divulsa","Cyperaceae","Carex","divulsa",1,23,104
"86","0","wp",2023-05-04,"May","avst","Avena sterilis","Poaceae","Avena","sterilis",3.75,23,104
"87","0","wp",2023-05-04,"May","to","Torilis sp","Apieaceae","Torilis","sp",5.25,23,104
"88","0","wp",2023-05-04,"May","trre","Trifolium repens","Fabaceae","Trifolium","repens",2,23,104
"89","0","wp",2023-05-04,"May","gafr","Gaudinia fragilis","Poaceae","Gaudinia","fragilis",0.25,23,104
"90","0","wp",2023-05-04,"May","bepe","Bellis perennis","Asteraceae","Bellis","perennis",1,23,104
"91","0","wp",2023-05-04,"May","elre","Elymus repens","Poaceae","Elymus","repens",11.25,23,104
"92","0","wp",2023-05-04,"May","mear","Medicago arabica","Fabaceae","Medicago","arabica",5.75,23,104
"93","0","wp",2023-05-04,"May","vepe","Veronica persica","Plantaginaceae","Veronica","persica",0.75,23,104
"94","0","wp",2023-05-04,"May","brho","Bromus hordeaceus","Poaceae","Bromus","hordeaceus",4.75,23,104
"95","0","wp",2023-05-04,"May","libi","Linum bienne","Linaceae","Linum","bienne",0.5,23,104
"96","0","wp",2023-05-04,"May","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",1.25,23,104
"97","0","wp",2023-05-04,"May","visa","Vicia sativa","Fabaceae","Vicia","sativa",5.25,23,104
"98","1","c",2023-05-16,"May","anpy","Anacamptis pyramidalis","Orchidaceae","Anacamptis","pyramidalis",0.25,35,107.3
"99","1","c",2023-05-16,"May","apar","Aphanes arvensis","Rosaceae","Aphanes","arvensis",0.125,35,107.3
"100","1","c",2023-05-16,"May","crca","Crepis capillaris","Asteraceae","Crepis","capillaris",0.25,35,107.3
"101","1","c",2023-05-16,"May","avst","Avena sterilis","Poaceae","Avena","sterilis",0.5,35,107.3
"102","1","c",2023-05-16,"May","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",1,35,107.3
"103","1","c",2023-05-16,"May","bepe","Bellis perennis","Asteraceae","Bellis","perennis",1.5,35,107.3
"104","1","c",2023-05-16,"May","elre","Elymus repens","Poaceae","Elymus","repens",15,35,107.3
"105","1","c",2023-05-16,"May","brho","Bromus hordeaceus","Poaceae","Bromus","hordeaceus",9.5,35,107.3
"106","1","c",2023-05-16,"May","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",15,35,107.3
"107","1","c",2023-05-16,"May","brst","Bromus sterillis","Poaceae","Bromus","sterillis",8.5,35,107.3
"108","1","c",2023-05-16,"May","gafr","Gaudinia fragilis","Poaceae","Gaudinia","fragilis",0.125,35,107.3
"109","1","c",2023-05-16,"May","cegl","Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum",1.25,35,107.3
"110","1","c",2023-05-16,"May","poan","Poa annua","Poaceae","Poa","annua",5.55,35,107.3
"111","1","c",2023-05-16,"May","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",3.25,35,107.3
"112","1","c",2023-05-16,"May","trre","Trifolium repens","Fabaceae","Trifolium","repens",4.75,35,107.3
"113","1","c",2023-05-16,"May","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",2.25,35,107.3
"114","1","c",2023-05-16,"May","cyec","Cynosurus echinatus","Poaceae","Cynosurus","echinatus",0.5,35,107.3
"115","1","c",2023-05-16,"May","libi","Linum bienne","Linaceae","Linum","bienne",0.5,35,107.3
"116","1","c",2023-05-16,"May","vepe","Veronica persica","Plantaginaceae","Veronica","persica",0.75,35,107.3
"117","1","c",2023-05-16,"May","loco","Lotus corniculatus","Fabeaceae","Lotus","corniculatus",0.125,35,107.3
"118","1","c",2023-05-16,"May","mear","Medicago arabica","Fabaceae","Medicago","arabica",7.75,35,107.3
"119","1","c",2023-05-16,"May","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",3.5,35,107.3
"120","1","c",2023-05-16,"May","opap","Ophrys apifera","Orchidaceae","Ophrys","apifera",0.25,35,107.3
"121","1","c",2023-05-16,"May","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",3,35,107.3
"122","1","c",2023-05-16,"May","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",1.75,35,107.3
"123","1","c",2023-05-16,"May","trdu","Trifolium dubium","Fabaceae","Trifolium","dubium",1.25,35,107.3
"124","1","c",2023-05-16,"May","gemo","Geranium molle","Geraniaceae","Geranium","molle",0.125,35,107.3
"125","1","c",2023-05-16,"May","pobu","Poa bulbosa","Poaceae","Poa","bulbosa",0.25,35,107.3
"126","1","c",2023-05-16,"May","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",4,35,107.3
"127","1","c",2023-05-16,"May","visa","Vicia sativa","Fabaceae","Vicia","sativa",3,35,107.3
"128","1","c",2023-05-16,"May","rabu","Ranunculus bulbosus","Ranunculaceae","Ranunculus","bulbosus",5,35,107.3
"129","1","c",2023-05-16,"May","vear","Veronica arvensis","Plantaginaceae","Veronica","arvensis",0.75,35,107.3
"130","1","c",2023-05-16,"May","to","Torilis sp","Apieaceae","Torilis","sp",4.5,35,107.3
"131","1","c",2023-05-16,"May","valo","Valerianella locusta","Caprifoleaceae","Valerianella","locusta",0.75,35,107.3
"132","1","c",2023-05-16,"May","trfr","Trifolium fragiferum","Fabaceae","Trifolium","fragiferum",0.75,35,107.3
"133","1","w",2023-05-16,"May","hyra","Hypochaeris radicata","Asteraceae","Hypochaeris","radicata",0.25,26,112.625
"134","1","w",2023-05-16,"May","brho","Bromus hordeaceus","Poaceae","Bromus","hordeaceus",5.25,26,112.625
"135","1","w",2023-05-16,"May","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",3,26,112.625
"136","1","w",2023-05-16,"May","cegl","Cerastium glomeratum","Caryophyllaceae","Cerastium","glomeratum",0.875,26,112.625
"137","1","w",2023-05-16,"May","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",6.75,26,112.625
"138","1","w",2023-05-16,"May","apar","Aphanes arvensis","Rosaceae","Aphanes","arvensis",1,26,112.625
"139","1","w",2023-05-16,"May","homu","Hordeum murinum","Poaceae","Hordeum","murinum",0.75,26,112.625
"140","1","w",2023-05-16,"May","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",1,26,112.625
"141","1","w",2023-05-16,"May","poan","Poa annua","Poaceae","Poa","annua",2.25,26,112.625
"142","1","w",2023-05-16,"May","libi","Linum bienne","Linaceae","Linum","bienne",0.25,26,112.625
"143","1","w",2023-05-16,"May","bepe","Bellis perennis","Asteraceae","Bellis","perennis",0.75,26,112.625
"144","1","w",2023-05-16,"May","elre","Elymus repens","Poaceae","Elymus","repens",20,26,112.625
"145","1","w",2023-05-16,"May","mear","Medicago arabica","Fabaceae","Medicago","arabica",3,26,112.625
"146","1","w",2023-05-16,"May","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",4.25,26,112.625
"147","1","w",2023-05-16,"May","brst","Bromus sterillis","Poaceae","Bromus","sterillis",18.75,26,112.625
"148","1","w",2023-05-16,"May","to","Torilis sp","Apieaceae","Torilis","sp",3.25,26,112.625
"149","1","w",2023-05-16,"May","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",11,26,112.625
"150","1","w",2023-05-16,"May","trdu","Trifolium dubium","Fabaceae","Trifolium","dubium",1.5,26,112.625
"151","1","w",2023-05-16,"May","gemo","Geranium molle","Geraniaceae","Geranium","molle",0.25,26,112.625
"152","1","w",2023-05-16,"May","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",1.75,26,112.625
"153","1","w",2023-05-16,"May","trre","Trifolium repens","Fabaceae","Trifolium","repens",2.75,26,112.625
"154","1","w",2023-05-16,"May","avst","Avena sterilis","Poaceae","Avena","sterilis",8.75,26,112.625
"155","1","w",2023-05-16,"May","rabu","Ranunculus bulbosus","Ranunculaceae","Ranunculus","bulbosus",3,26,112.625
"156","1","w",2023-05-16,"May","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",0.5,26,112.625
"157","1","w",2023-05-16,"May","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",10.5,26,112.625
"158","1","w",2023-05-16,"May","visa","Vicia sativa","Fabaceae","Vicia","sativa",1.25,26,112.625
"159","10","c",2023-10-16,"Oct","bepe","Bellis perennis","Asteraceae","Bellis","perennis",0.75,16,75.625
"160","10","c",2023-10-16,"Oct","rabu","Ranunculus bulbosus","Ranunculaceae","Ranunculus","bulbosus",2.5,16,75.625
"161","10","c",2023-10-16,"Oct","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",0.25,16,75.625
"162","10","c",2023-10-16,"Oct","elre","Elymus repens","Poaceae","Elymus","repens",35,16,75.625
"163","10","c",2023-10-16,"Oct","trfr","Trifolium fragiferum","Fabaceae","Trifolium","fragiferum",0.5,16,75.625
"164","10","c",2023-10-16,"Oct","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",3.5,16,75.625
"165","10","c",2023-10-16,"Oct","vepe","Veronica persica","Plantaginaceae","Veronica","persica",0.25,16,75.625
"166","10","c",2023-10-16,"Oct","rucr","Rumex crispus","Polygonaceae","Rumex","crispus",0.5,16,75.625
"167","10","c",2023-10-16,"Oct","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",3,16,75.625
"168","10","c",2023-10-16,"Oct","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",12.5,16,75.625
"169","10","c",2023-10-16,"Oct","trre","Trifolium repens","Fabaceae","Trifolium","repens",0.75,16,75.625
"170","10","c",2023-10-16,"Oct","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",2,16,75.625
"171","10","c",2023-10-16,"Oct","to","Torilis sp","Apieaceae","Torilis","sp",0.375,16,75.625
"172","10","c",2023-10-16,"Oct","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",4.25,16,75.625
"173","10","c",2023-10-16,"Oct","libi","Linum bienne","Linaceae","Linum","bienne",0.25,16,75.625
"174","10","c",2023-10-16,"Oct","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",9.25,16,75.625
"175","10","p",2023-10-16,"Oct","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",7.5,19,69.375
"176","10","p",2023-10-16,"Oct","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",4.25,19,69.375
"177","10","p",2023-10-16,"Oct","trfr","Trifolium fragiferum","Fabaceae","Trifolium","fragiferum",2,19,69.375
"178","10","p",2023-10-16,"Oct","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",1.25,19,69.375
"179","10","p",2023-10-16,"Oct","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",4.5,19,69.375
"180","10","p",2023-10-16,"Oct","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",10.75,19,69.375
"181","10","p",2023-10-16,"Oct","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",2,19,69.375
"182","10","p",2023-10-16,"Oct","mean","Mercurialis annua","Euphorbiaceae","Mercurialis","annua",4,19,69.375
"183","10","p",2023-10-16,"Oct","to","Torilis sp","Apieaceae","Torilis","sp",0.625,19,69.375
"184","10","p",2023-10-16,"Oct","mear","Medicago arabica","Fabaceae","Medicago","arabica",4.75,19,69.375
"185","10","p",2023-10-16,"Oct","lyar","Lysimachia arvensis","Primulaceae","Lysimachia","arvensis",2.5,19,69.375
"186","10","p",2023-10-16,"Oct","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",0.75,19,69.375
"187","10","p",2023-10-16,"Oct","elre","Elymus repens","Poaceae","Elymus","repens",12.25,19,69.375
"188","10","p",2023-10-16,"Oct","bepe","Bellis perennis","Asteraceae","Bellis","perennis",0.25,19,69.375
"189","10","p",2023-10-16,"Oct","ch","Chenopodium sp","Amaranthaceae","Chenopodium",NA,5.75,19,69.375
"190","10","p",2023-10-16,"Oct","trre","Trifolium repens","Fabaceae","Trifolium","repens",0.25,19,69.375
"191","10","p",2023-10-16,"Oct","melu","Medicago lupulina","Fabaceae","Medicago","lupulina",2,19,69.375
"192","10","p",2023-10-16,"Oct","veof","Verbena officinalis","Verbenaceae","Verbena","officinalis",1.75,19,69.375
"193","10","p",2023-10-16,"Oct","vepe","Veronica persica","Plantaginaceae","Veronica","persica",2.25,19,69.375
"194","10","w",2023-10-16,"Oct","trre","Trifolium repens","Fabaceae","Trifolium","repens",1,13,62.625
"195","10","w",2023-10-16,"Oct","bepe","Bellis perennis","Asteraceae","Bellis","perennis",0.75,13,62.625
"196","10","w",2023-10-16,"Oct","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",2.5,13,62.625
"197","10","w",2023-10-16,"Oct","cadi","Carex divulsa","Cyperaceae","Carex","divulsa",1.5,13,62.625
"198","10","w",2023-10-16,"Oct","pore","Potentilla reptans","Rosaceae","Potentilla","reptans",0.25,13,62.625
"199","10","w",2023-10-16,"Oct","elre","Elymus repens","Poaceae","Elymus","repens",30,13,62.625
"200","10","w",2023-10-16,"Oct","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",0.75,13,62.625
"201","10","w",2023-10-16,"Oct","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",8.25,13,62.625
"202","10","w",2023-10-16,"Oct","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",1.25,13,62.625
"203","10","w",2023-10-16,"Oct","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",13,13,62.625
"204","10","w",2023-10-16,"Oct","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",2.75,13,62.625
"205","10","w",2023-10-16,"Oct","to","Torilis sp","Apieaceae","Torilis","sp",0.375,13,62.625
"206","10","w",2023-10-16,"Oct","libi","Linum bienne","Linaceae","Linum","bienne",0.25,13,62.625
"207","10","wp",2023-10-16,"Oct","lyar","Lysimachia arvensis","Primulaceae","Lysimachia","arvensis",4,18,66
"208","10","wp",2023-10-16,"Oct","mean","Mercurialis annua","Euphorbiaceae","Mercurialis","annua",0.25,18,66
"209","10","wp",2023-10-16,"Oct","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",0.25,18,66
"210","10","wp",2023-10-16,"Oct","mear","Medicago arabica","Fabaceae","Medicago","arabica",1,18,66
"211","10","wp",2023-10-16,"Oct","ch","Chenopodium sp","Amaranthaceae","Chenopodium",NA,0.75,18,66
"212","10","wp",2023-10-16,"Oct","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",2,18,66
"213","10","wp",2023-10-16,"Oct","melu","Medicago lupulina","Fabaceae","Medicago","lupulina",0.5,18,66
"214","10","wp",2023-10-16,"Oct","to","Torilis sp","Apieaceae","Torilis","sp",0.25,18,66
"215","10","wp",2023-10-16,"Oct","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",8.25,18,66
"216","10","wp",2023-10-16,"Oct","cabu","Capsella bursa-pastoris","Brasicaceae","Capsella","bursa-pastoris",0.5,18,66
"217","10","wp",2023-10-16,"Oct","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",9,18,66
"218","10","wp",2023-10-16,"Oct","elre","Elymus repens","Poaceae","Elymus","repens",25.25,18,66
"219","10","wp",2023-10-16,"Oct","bepe","Bellis perennis","Asteraceae","Bellis","perennis",0.75,18,66
"220","10","wp",2023-10-16,"Oct","trre","Trifolium repens","Fabaceae","Trifolium","repens",0.5,18,66
"221","10","wp",2023-10-16,"Oct","cadi","Carex divulsa","Cyperaceae","Carex","divulsa",1.5,18,66
"222","10","wp",2023-10-16,"Oct","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",3,18,66
"223","10","wp",2023-10-16,"Oct","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",2.25,18,66
"224","10","wp",2023-10-16,"Oct","vepe","Veronica persica","Plantaginaceae","Veronica","persica",6,18,66
"225","11","c",2023-11-13,"Nov","bepe","Bellis perennis","Asteraceae","Bellis","perennis",1.25,17,73.375
"226","11","c",2023-11-13,"Nov","to","Torilis sp","Apieaceae","Torilis","sp",2.25,17,73.375
"227","11","c",2023-11-13,"Nov","rabu","Ranunculus bulbosus","Ranunculaceae","Ranunculus","bulbosus",6.75,17,73.375
"228","11","c",2023-11-13,"Nov","trre","Trifolium repens","Fabaceae","Trifolium","repens",0.5,17,73.375
"229","11","c",2023-11-13,"Nov","fear","Festuca arundinacea","Poaceae","Festuca","arundinacea",7.5,17,73.375
"230","11","c",2023-11-13,"Nov","rapa","Rannunculus parviflorus","Ranunculaceae","Rannunculus","parviflorus",0.5,17,73.375
"231","11","c",2023-11-13,"Nov","coar","Convolvulus arvensis","Convolvulaceae","Convolvulus","arvensis",0.875,17,73.375
"232","11","c",2023-11-13,"Nov","vepe","Veronica persica","Plantaginaceae","Veronica","persica",0.25,17,73.375
"233","11","c",2023-11-13,"Nov","rucr","Rumex crispus","Polygonaceae","Rumex","crispus",0.75,17,73.375
"234","11","c",2023-11-13,"Nov","shar","Sherardia armensis","Rubeaceae","Sherardia","armensis",3.5,17,73.375
"235","11","c",2023-11-13,"Nov","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",6.25,17,73.375
"236","11","c",2023-11-13,"Nov","plla","Plantago lanceolata","Plantaginaceae","Plantago","lanceolata",3,17,73.375
"237","11","c",2023-11-13,"Nov","elre","Elymus repens","Poaceae","Elymus","repens",32.5,17,73.375
"238","11","c",2023-11-13,"Nov","visa","Vicia sativa","Fabaceae","Vicia","sativa",3,17,73.375
"239","11","c",2023-11-13,"Nov","gedi","Geranium dissectum","Geraniaceae","Geranium","dissectum",2.5,17,73.375
"240","11","c",2023-11-13,"Nov","trfr","Trifolium fragiferum","Fabaceae","Trifolium","fragiferum",0.75,17,73.375
"241","11","c",2023-11-13,"Nov","libi","Linum bienne","Linaceae","Linum","bienne",1.25,17,73.375
"242","11","p",2023-11-13,"Nov","dagl","Dactilys glomerata","Poaceae","Dactilys","glomerata",1.25,20,69.25
"243","11","p",2023-11-13,"Nov","kisp","Kickxia spuria","Plantaginaceae","Kickxia","spuria",0.25,20,69.25
"244","11","p",2023-11-13,"Nov","mean","Mercurialis annua","Euphorbiaceae","Mercurialis","annua",3.75,20,69.25
